track_id,available_markets,popularity,genre,artist_name,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,dummy_column
1R0a2iXumgCiFb7HEZ7gUE,,92,Dance,Taylor Swift,Don’t Blame Me,0.106,0.615,236413,0.534,1.76e-05,A,0.0607,-6.719,Minor,0.0386,135.917,4/4,0.193,"[('valence', 0.9563065721075477), ('energy', 0.93252706757795), ('loudness', 0.79322683193698), ('acousticness', 0.7595677570354037), ('liveness', 0.7405393836839775), ('danceability', 0.5761305909630284), ('time_signature', 0.46807300921968054), ('tempo', 0.42820445746681446), ('mode', 0.4245046108246706), ('speechiness', 0.36114485989688383), ('key', 0.3286463727456097), ('duration_ms', 0.1310767769589346), ('instrumentalness', 0.12169816710378378)]"
7KA4W4McWYRpgf0fWsJZWB,GH,92,Pop,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62,"[('speechiness', 0.9815230745195144), ('loudness', 0.9134850572238384), ('mode', 0.7961643231245055), ('danceability', 0.7355857103095544), ('tempo', 0.7330947456065082), ('key', 0.7247180336365311), ('energy', 0.6786735844989628), ('acousticness', 0.377898804605712), ('instrumentalness', 0.3646332082115791), ('valence', 0.33566372250942056), ('liveness', 0.33406943938975275), ('duration_ms', 0.19674011304643846), ('time_signature', 0.1258672572185202)]"
7KA4W4McWYRpgf0fWsJZWB,CO,92,Pop,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62,"[('acousticness', 0.9162385247145445), ('instrumentalness', 0.8741720003013782), ('key', 0.8192614387253713), ('tempo', 0.6669078727960511), ('duration_ms', 0.6157527166647427), ('energy', 0.5844021751804295), ('danceability', 0.5232530898416635), ('liveness', 0.4757627121937439), ('time_signature', 0.442234326598716), ('mode', 0.39474836320756235), ('loudness', 0.3813772556171031), ('valence', 0.25069644569441907), ('speechiness', 0.06402312471849914)]"
3xKsf9qdS1CyvXSMEid6g8,TR,91,Pop,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554,"[('tempo', 0.935471033013841), ('key', 0.8763331139920075), ('energy', 0.699628936317207), ('time_signature', 0.6727470920887049), ('danceability', 0.6615726832602734), ('mode', 0.6396711838985759), ('loudness', 0.5081836265202762), ('acousticness', 0.43505151288662147), ('valence', 0.3067707370811006), ('speechiness', 0.26896574840744814), ('instrumentalness', 0.1522661386624281), ('liveness', 0.1126441840841701), ('duration_ms', 0.036453968671157466)]"
7MXVkk9YMctZqd1Srtv4MB,VU,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('instrumentalness', 0.9506070965724649), ('duration_ms', 0.8445590242351352), ('liveness', 0.8277309022383365), ('acousticness', 0.6290240795371238), ('speechiness', 0.5447151604683007), ('loudness', 0.5346507067252826), ('danceability', 0.5226620390988127), ('time_signature', 0.4778129638292815), ('mode', 0.47570620804035935), ('valence', 0.4249435347429862), ('tempo', 0.3170291620838517), ('key', 0.26278212581030713), ('energy', 0.0449277759159592)]"
7MXVkk9YMctZqd1Srtv4MB,PY,94,R&B,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('speechiness', 0.9305710379312285), ('liveness', 0.9119027062170812), ('time_signature', 0.910899349815431), ('valence', 0.8189102904782404), ('acousticness', 0.6291116303589143), ('tempo', 0.5244619289141659), ('loudness', 0.49569658935664185), ('energy', 0.3237222841359404), ('mode', 0.30780058747255956), ('danceability', 0.30742652132492765), ('key', 0.20435254346693288), ('duration_ms', 0.15688406398470667), ('instrumentalness', 0.09582638322997528)]"
7MXVkk9YMctZqd1Srtv4MB,UZ,94,R&B,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('liveness', 0.9607517186269897), ('danceability', 0.9538819274690751), ('valence', 0.9222226628100456), ('energy', 0.8061245192454402), ('time_signature', 0.7628077722307848), ('speechiness', 0.7314978103994968), ('mode', 0.3293164388225793), ('key', 0.3243384291107333), ('duration_ms', 0.193760591010828), ('instrumentalness', 0.13496353127047755), ('tempo', 0.10100723636467179), ('loudness', 0.058292497907466156), ('acousticness', 0.032224559772539574)]"
2QjOHCTQ1Jl3zawyYOpxh6,HN,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398,"[('instrumentalness', 0.9781903136204755), ('key', 0.889115191623262), ('liveness', 0.8657155571747264), ('time_signature', 0.8164848257466258), ('duration_ms', 0.7486221846783147), ('acousticness', 0.7393277760620783), ('danceability', 0.5770369482573925), ('mode', 0.5359974526502934), ('valence', 0.4074125433239463), ('tempo', 0.33029309301178356), ('loudness', 0.14845516386904456), ('speechiness', 0.10557791336185995), ('energy', 0.013966083086492054)]"
2QjOHCTQ1Jl3zawyYOpxh6,AT,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398,"[('instrumentalness', 0.9984964595996824), ('loudness', 0.9974599043160377), ('duration_ms', 0.8598382207754536), ('energy', 0.8270017918692688), ('time_signature', 0.8150432812739564), ('tempo', 0.7144806864155235), ('danceability', 0.689346614134218), ('key', 0.45269181957573823), ('liveness', 0.39859032235096714), ('speechiness', 0.35462816185808377), ('valence', 0.20558555624342623), ('acousticness', 0.16262598857949973), ('mode', 0.07465534351693315)]"
3xKsf9qdS1CyvXSMEid6g8,MX,91,Alternative,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554,"[('key', 0.8093890477199626), ('liveness', 0.7121342514630683), ('valence', 0.6808532795218095), ('tempo', 0.6596516170460007), ('acousticness', 0.6033719074703914), ('time_signature', 0.5870602808984187), ('mode', 0.4714774089850142), ('duration_ms', 0.38531257989818646), ('danceability', 0.37714968934629556), ('loudness', 0.3521630504744888), ('instrumentalness', 0.33724329489978644), ('speechiness', 0.13785531566952425), ('energy', 0.009715411831622944)]"
0JXXNGljqupsJaZsgSbMZV,DK,90,Pop,Miguel,Sure Thing,0.0275,0.684,195373,0.603,0.000311,B,0.191,-8.127,Minor,0.0989,81.0,4/4,0.504,"[('valence', 0.9860725911136297), ('key', 0.9654406191218533), ('speechiness', 0.914394843648992), ('energy', 0.8372606521752289), ('duration_ms', 0.7830703522387027), ('loudness', 0.4274404886736126), ('tempo', 0.28789624765772714), ('mode', 0.2810683901576858), ('acousticness', 0.2645110847216652), ('time_signature', 0.20600746417687077), ('danceability', 0.08211313791983654), ('liveness', 0.01793692439362715), ('instrumentalness', 0.01729498450527467)]"
1R0a2iXumgCiFb7HEZ7gUE,EC,92,Dance,Taylor Swift,Don’t Blame Me,0.106,0.615,236413,0.534,1.76e-05,A,0.0607,-6.719,Minor,0.0386,135.917,4/4,0.193,"[('valence', 0.9169682304848531), ('key', 0.8851983629652298), ('acousticness', 0.8117962720556333), ('time_signature', 0.6056301275313514), ('energy', 0.5758874229833925), ('speechiness', 0.493077939255248), ('loudness', 0.4623440446984939), ('liveness', 0.43791261247417756), ('mode', 0.38592033829349026), ('instrumentalness', 0.2683582665618497), ('duration_ms', 0.24671068419782638), ('tempo', 0.23089232954319294), ('danceability', 0.05080967213336396)]"
7MXVkk9YMctZqd1Srtv4MB,DM,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('time_signature', 0.8224876823654754), ('speechiness', 0.721414066267599), ('tempo', 0.6985469719931264), ('liveness', 0.602486084986109), ('energy', 0.5869312076000892), ('loudness', 0.4106914559912801), ('instrumentalness', 0.37319946901032564), ('acousticness', 0.3584511220514044), ('duration_ms', 0.30033452799225546), ('mode', 0.21966597139597577), ('danceability', 0.21179333696843627), ('key', 0.08883135297696365), ('valence', 0.059405002797763284)]"
7MXVkk9YMctZqd1Srtv4MB,GN,94,R&B,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('valence', 0.6962001309522686), ('key', 0.6892996979909227), ('mode', 0.5121429378098107), ('energy', 0.41250777585377896), ('instrumentalness', 0.39502958642028874), ('speechiness', 0.25201864628053605), ('time_signature', 0.21211128324728223), ('acousticness', 0.1446847645376783), ('liveness', 0.14266338776237164), ('tempo', 0.11947407591166526), ('loudness', 0.10117452948948313), ('duration_ms', 0.0697983631727429), ('danceability', 0.024204831140670624)]"
2QjOHCTQ1Jl3zawyYOpxh6,PE,93,Pop,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398,"[('liveness', 0.8245106197862384), ('time_signature', 0.7487720232531317), ('loudness', 0.5999548637778752), ('tempo', 0.5403625371032045), ('mode', 0.5394529605978844), ('acousticness', 0.4800014392890586), ('instrumentalness', 0.4072275357856472), ('danceability', 0.4043083927230975), ('speechiness', 0.36226920645039873), ('valence', 0.33730024229700817), ('energy', 0.2249895704405448), ('key', 0.19815751660634784), ('duration_ms', 0.0555139412215524)]"
2QjOHCTQ1Jl3zawyYOpxh6,PW,93,Children’s Music,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398,"[('time_signature', 0.9439680264390399), ('speechiness', 0.9262553069174742), ('valence', 0.8141500741628864), ('energy', 0.7533798026157806), ('danceability', 0.6602640446017052), ('duration_ms', 0.6043798029797584), ('acousticness', 0.6034630172290355), ('loudness', 0.565201451440798), ('liveness', 0.4374058305062728), ('tempo', 0.3568979031418459), ('key', 0.2553578166726541), ('mode', 0.13629057415827428), ('instrumentalness', 0.01237885198829669)]"
7MXVkk9YMctZqd1Srtv4MB,BY,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('loudness', 0.9916007753584876), ('tempo', 0.6946253595802702), ('danceability', 0.6792477451243536), ('speechiness', 0.6023810163639688), ('time_signature', 0.5551635180696662), ('instrumentalness', 0.5402557519039927), ('key', 0.5133991101848967), ('liveness', 0.4301988162227811), ('mode', 0.41300833255437674), ('energy', 0.21016175763385936), ('valence', 0.20931392787253777), ('acousticness', 0.07058320859368228), ('duration_ms', 0.03561997525802907)]"
7MXVkk9YMctZqd1Srtv4MB,LC,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('tempo', 0.8155424592976362), ('loudness', 0.8152207310739318), ('danceability', 0.5860208215751608), ('time_signature', 0.5859855332985183), ('liveness', 0.5591737235227148), ('key', 0.48432627501493086), ('speechiness', 0.46264825810470933), ('instrumentalness', 0.4276290994660571), ('valence', 0.3451085556962388), ('duration_ms', 0.25489695512762744), ('acousticness', 0.250046009857257), ('energy', 0.15381696799623068), ('mode', 0.11070638005007283)]"
7MXVkk9YMctZqd1Srtv4MB,SM,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('danceability', 0.9043122511920509), ('speechiness', 0.7895903407504063), ('valence', 0.5186907109618257), ('loudness', 0.5073444803238597), ('energy', 0.48890090444069945), ('duration_ms', 0.46952147643628017), ('time_signature', 0.41821100889404317), ('key', 0.3767497516235374), ('liveness', 0.27288806028338375), ('instrumentalness', 0.2632633142967985), ('acousticness', 0.16974079616978488), ('tempo', 0.03936797355715804), ('mode', 0.0032705733939630832)]"
7KA4W4McWYRpgf0fWsJZWB,AR,92,Hip-Hop,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62,"[('danceability', 0.9991214342656931), ('tempo', 0.8975919325494109), ('valence', 0.6768917065816158), ('acousticness', 0.6602311206044905), ('instrumentalness', 0.6432820484835747), ('speechiness', 0.6118530397069768), ('mode', 0.45206263401749447), ('loudness', 0.4517810702678533), ('key', 0.4404482427073977), ('energy', 0.35615491129574306), ('liveness', 0.35495732592230556), ('duration_ms', 0.32229997345715145), ('time_signature', 0.17054948770280398)]"
7MXVkk9YMctZqd1Srtv4MB,SA,94,R&B,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('liveness', 0.9001061378383431), ('acousticness', 0.7865360699292014), ('instrumentalness', 0.7460764084631873), ('time_signature', 0.6456938737836643), ('mode', 0.48580027066294373), ('valence', 0.45418836410049523), ('tempo', 0.44627684138827295), ('loudness', 0.3811527411771012), ('duration_ms', 0.26367877300719667), ('danceability', 0.2531885444751901), ('speechiness', 0.05568229620285425), ('energy', 0.05509716676859833), ('key', 0.047652496248725695)]"
0JXXNGljqupsJaZsgSbMZV,KZ,90,Pop,Miguel,Sure Thing,0.0275,0.684,195373,0.603,0.000311,B,0.191,-8.127,Minor,0.0989,81.0,4/4,0.504,"[('liveness', 0.9068472772430254), ('energy', 0.7853113812222682), ('key', 0.7406089089223103), ('loudness', 0.7062076570418926), ('mode', 0.49121049870025324), ('instrumentalness', 0.41919246735651117), ('speechiness', 0.4053090502941963), ('acousticness', 0.38241241470528553), ('time_signature', 0.3623085743506993), ('danceability', 0.32351205317431353), ('tempo', 0.2967712382725659), ('duration_ms', 0.22138895371646672), ('valence', 0.07366020150778518)]"
7MXVkk9YMctZqd1Srtv4MB,LK,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('instrumentalness', 0.9672622853618094), ('energy', 0.8802486278968096), ('loudness', 0.8317950520490707), ('acousticness', 0.7996820697894608), ('key', 0.7388947200992115), ('tempo', 0.6704155402335921), ('valence', 0.6080486958091978), ('speechiness', 0.5279375073114034), ('time_signature', 0.5222632937838675), ('liveness', 0.35948560170541066), ('duration_ms', 0.30469176826591504), ('danceability', 0.21573842860266368), ('mode', 0.06828707231474385)]"
7MXVkk9YMctZqd1Srtv4MB,BI,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('liveness', 0.9471657110540642), ('mode', 0.7753105759234512), ('acousticness', 0.4272349051532637), ('loudness', 0.41690317757303774), ('danceability', 0.3618558884668729), ('time_signature', 0.25815456774445134), ('key', 0.2411238631342818), ('energy', 0.21999795339855088), ('speechiness', 0.1870754810221299), ('instrumentalness', 0.178005106219421), ('valence', 0.1703436252288547), ('tempo', 0.12850931789535502), ('duration_ms', 0.047108248586256285)]"
7MXVkk9YMctZqd1Srtv4MB,IS,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('key', 0.9208036183159755), ('instrumentalness', 0.9154660554023402), ('energy', 0.8616502410146317), ('speechiness', 0.7392392733164976), ('loudness', 0.7081384435541428), ('tempo', 0.6266354466901122), ('valence', 0.53388986831982), ('duration_ms', 0.5128631694099635), ('time_signature', 0.46456560343346165), ('acousticness', 0.40116231663462376), ('danceability', 0.31366956430776494), ('liveness', 0.19407333958786088), ('mode', 0.16561578787880216)]"
7MXVkk9YMctZqd1Srtv4MB,NR,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('valence', 0.8980726285090349), ('loudness', 0.8320785840153667), ('mode', 0.7781929196551225), ('speechiness', 0.7708464867856759), ('duration_ms', 0.7634285057453739), ('instrumentalness', 0.7630046582150132), ('tempo', 0.750240300381644), ('key', 0.7018281297448115), ('acousticness', 0.5619789135127922), ('danceability', 0.3625783123082361), ('energy', 0.22401182419904764), ('time_signature', 0.1962054785783065), ('liveness', 0.0639237808977896)]"
3xKsf9qdS1CyvXSMEid6g8,JP,91,Soul,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554,"[('instrumentalness', 0.9910412826456022), ('energy', 0.973264091591885), ('valence', 0.9267015961620769), ('speechiness', 0.8707157006375988), ('mode', 0.5797195353640895), ('key', 0.5536356481199277), ('loudness', 0.3458604229566328), ('liveness', 0.25925983007237896), ('acousticness', 0.2097038683194279), ('tempo', 0.18081599946889482), ('duration_ms', 0.15360091295857892), ('time_signature', 0.0620339095407586), ('danceability', 0.022673554835744403)]"
7MXVkk9YMctZqd1Srtv4MB,AD,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('acousticness', 0.999060128359675), ('time_signature', 0.9422450092650193), ('key', 0.9236608072647436), ('instrumentalness', 0.8638006391365011), ('energy', 0.7757558072324819), ('duration_ms', 0.6036731941701696), ('valence', 0.5737157660967043), ('loudness', 0.4339964823636949), ('liveness', 0.2889732938978016), ('speechiness', 0.24081283969936673), ('mode', 0.18141000535308383), ('danceability', 0.10343567461258818), ('tempo', 0.037026905507094976)]"
7MXVkk9YMctZqd1Srtv4MB,CR,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('duration_ms', 0.9982535409852796), ('key', 0.9332374260466934), ('liveness', 0.9037917991407791), ('valence', 0.8267552165913011), ('energy', 0.7972809598994265), ('instrumentalness', 0.7944664313335367), ('loudness', 0.7875644205660811), ('danceability', 0.3974567759091657), ('acousticness', 0.3098439491709216), ('time_signature', 0.30596505354267267), ('speechiness', 0.18939461139532687), ('tempo', 0.16304866554499675), ('mode', 0.1467304717077177)]"
0JXXNGljqupsJaZsgSbMZV,TV,90,Rap,Miguel,Sure Thing,0.0275,0.684,195373,0.603,0.000311,B,0.191,-8.127,Minor,0.0989,81.0,4/4,0.504,"[('valence', 0.9798115385260567), ('tempo', 0.9037888437657668), ('mode', 0.8749453055315208), ('acousticness', 0.8679394278781548), ('key', 0.8352175774642917), ('duration_ms', 0.7607796229861863), ('energy', 0.6618717568408763), ('speechiness', 0.5466895486011323), ('instrumentalness', 0.4848401839483176), ('time_signature', 0.4738500475651739), ('danceability', 0.1982234892108764), ('liveness', 0.023795385435102623), ('loudness', 0.010851821162831787)]"
3AJwUDP919kvQ9QcozQPxg,SE,92,Pop,Coldplay,Yellow,0.00239,0.429,266773,0.661,0.00013,B,0.234,-7.227,Major,0.0281,173.365,4/4,0.285,"[('key', 0.9874274964108003), ('duration_ms', 0.9134633985647519), ('time_signature', 0.8190282407837942), ('mode', 0.7768463644208398), ('energy', 0.7307622294124783), ('valence', 0.6966073100264228), ('loudness', 0.5077212891332342), ('danceability', 0.45692729818279065), ('instrumentalness', 0.4376054972239687), ('acousticness', 0.3941129993233833), ('tempo', 0.35886814167381187), ('speechiness', 0.3503921003049576), ('liveness', 0.1068635823035925)]"
7MXVkk9YMctZqd1Srtv4MB,CI,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('instrumentalness', 0.9917769767188723), ('tempo', 0.9319620725115317), ('duration_ms', 0.860966072711081), ('acousticness', 0.8540553436653917), ('valence', 0.6705439825591744), ('danceability', 0.5731572480773972), ('loudness', 0.551255282513371), ('energy', 0.40925870145544496), ('speechiness', 0.36443155048439524), ('time_signature', 0.2928197096097571), ('key', 0.27306138101182), ('liveness', 0.20928232601052654), ('mode', 0.030048432505855094)]"
2QjOHCTQ1Jl3zawyYOpxh6,TZ,93,Rock,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398,"[('speechiness', 0.9681464376134415), ('mode', 0.910670467024314), ('liveness', 0.6801948289961057), ('key', 0.6755149855300963), ('time_signature', 0.5927024243674802), ('duration_ms', 0.5745594192628647), ('loudness', 0.4477681539045767), ('instrumentalness', 0.26091855377513384), ('energy', 0.2508099312967649), ('danceability', 0.21952077080951693), ('tempo', 0.15872283919243912), ('valence', 0.15236980300306302), ('acousticness', 0.07139732465711135)]"
2QjOHCTQ1Jl3zawyYOpxh6,ES,93,Children’s Music,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398,"[('time_signature', 0.9620920906457453), ('danceability', 0.9603758970027667), ('loudness', 0.9476882420306404), ('instrumentalness', 0.824740591653341), ('tempo', 0.803461021835093), ('acousticness', 0.7745441103793308), ('mode', 0.5600139851576295), ('duration_ms', 0.5231571453953239), ('energy', 0.485035370769046), ('liveness', 0.31809267951711406), ('speechiness', 0.2779307899318113), ('valence', 0.16503288654827575), ('key', 0.1403618033128543)]"
